industry_code,industry_title,2019,2025,annual_pay_growth_pct,real_pay_2025_2019_dollars,real_annual_pay_growth_pct
99,Unclassified,42885.05134339345,64037.60229957473,0.4932383264929889,50852.67047614758,0.18579012693619087
52,Finance and Insurance,99226.05858555464,139262.01060414346,0.4034822363126421,110588.85530986388,0.11451424037479044
53,Real Estate and Rental and Leasing,58811.1886470499,82195.59382143104,0.39761830550170585,65272.04793893825,0.10985765532920312
51,Information,112089.94996248891,156627.76504532286,0.3973399497255427,124379.11222853769,0.10963661122305225
72,Accommodation and Food Services,20630.980908146503,28801.753858124357,0.3960438423338118,22871.657362037688,0.10860736403504763
56,Administrative and Support and Waste Management,44961.317017899484,62626.22628451555,0.39289127717463246,49731.88773546992,0.10610389183375639
23,Construction,60970.969345459605,83593.92876700652,0.37104477203512937,66382.4746827438,0.08875544206330034
71,"Arts, Entertainment, and Recreation",26996.39652610069,36608.667849976846,0.35605756918642123,29071.177806386633,0.07685400821105891
81,Other Services,45102.09346723309,60659.15298570485,0.3449298762545035,48169.822219667294,0.06801743592374318
11,"Agriculture, Forestry, Fishing and Hunting",36243.71677124929,48494.14605734767,0.3380014628029586,38509.51223845009,0.06251553838976483
55,Management of Companies and Enterprises,131313.50502066518,173639.65785834612,0.32232901582377194,137888.3653599898,0.05006994778099881
44-45,Retail Trade,30798.994754452615,40232.902984938526,0.30630571892681824,31949.206158917666,0.03734574500353669
62,Health Care and Social Assistance,53478.78890920357,69829.02101576576,0.3057330287400796,55451.673202485,0.03689096805522275
54,"Professional, Scientific, and Technical Services",109432.73302501523,139652.428907127,0.2761485987488209,110898.88898689946,0.013397782558798753
31-33,Manufacturing,60290.01591018193,76749.38728130568,0.2730032679978784,60947.180414473274,0.01090005524746197
42,Wholesale Trade,85657.72468661153,106754.68826351788,0.2462937657297339,84774.5822626558,-0.010310131715345167
21,"Mining, Quarrying, and Oil and Gas Extraction",71381.63848920864,87485.91067538127,0.22560804889071367,69473.1224643367,-0.026736792055571258
61,Educational Services,45217.37487474289,53831.12426574147,0.1904964499787883,42747.64084451803,-0.05461913782182841
48-49,Transportation and Warehousing,52922.35612683842,62973.44730705241,0.18992146071736962,50007.61817520213,-0.05507574048008317
22,Utilities,129888.68356196233,152418.72167089776,0.17345651284692298,121036.68390434553,-0.06815066112664103
