area_fips,locality_name,total_regional_competitive_effect,observed_employment_change
51107,Loudoun County,16428.77852166129,23685.0
51800,Suffolk city,9601.941197828708,10988.0
51179,Stafford County,6880.4649215388745,8034.0
51153,Prince William County,5387.997365181393,9048.0
51760,Richmond city,4683.077992472754,9325.0
51041,Chesterfield County,4069.106323968065,8800.0
51069,Frederick County,3893.9931331669573,4980.0
51600,Fairfax city,2625.329985167288,2898.0
51550,Chesapeake city,1971.3030315873054,4384.0
51015,Augusta County,1108.8532154924694,2682.0
51099,King George County,1046.2380264799838,1124.0
51520,Bristol city,990.8583502913511,1086.0
51820,Waynesboro city,943.437355734392,877.0
51067,Franklin County,937.4357102223382,859.0
51145,Powhatan County,890.6971475061547,1122.0
51075,Goochland County,772.57745169311,1252.0
51003,Albemarle County,665.5925899597108,2061.0
51199,York County,653.2742665397495,940.0
51061,Fauquier County,620.9640363525446,1228.0
51177,Spotsylvania County,572.3508130278286,1690.0
51683,Manassas city,540.370976564758,1012.0
51191,Washington County,539.7579351838418,994.0
51031,Campbell County,514.9876788093487,615.0
51149,Prince George County,463.3270681649083,1090.0
51109,Louisa County,452.073009201535,369.0
51630,Fredericksburg city,418.04523297712143,1059.0
51143,Pittsylvania County,364.85199723128153,613.0
51065,Fluvanna County,349.88319776227,446.0
51023,Botetourt County,340.0185117932084,208.0
51197,Wythe County,298.59380745631495,132.0
51047,Culpeper County,285.7899726203266,401.0
51033,Caroline County,283.4384743115614,352.0
51036,Charles City County,263.25619313922874,368.0
51071,Giles County,263.1532395644677,220.0
51175,Southampton County,226.09415122541728,210.0
51103,Lancaster County,221.14180378554636,225.0
51127,New Kent County,221.04186438991866,267.0
51131,Northampton County,210.8648012116614,223.0
51169,Scott County,201.66011578664666,167.0
51011,Appomattox County,201.51334172104254,197.0
51775,Salem city,152.4799013739015,-163.0
51043,Clarke County,145.21665255162605,191.0
51021,Bland County,140.04597445701222,115.0
51057,Essex County,134.2684861988352,68.0
51063,Floyd County,132.9546094610762,205.0
51139,Page County,117.10962631652569,44.0
51159,Richmond County,94.50864072692609,99.0
51678,Lexington city,89.08317948269156,79.0
51157,Rappahannock County,82.1692433428635,100.0
51735,Poquoson city,81.0705203468139,60.0
51079,Greene County,75.59042999816371,85.0
51101,King William County,75.25086517147612,134.0
51073,Gloucester County,62.08264271217577,326.0
51183,Sussex County,39.52897182738241,6.0
51001,Accomack County,32.32391666360361,-97.0
51007,Amelia County,29.951263851367717,52.0
51077,Grayson County,23.655552490628388,-8.0
51091,Highland County,16.41372418021902,22.0
51017,Bath County,10.185187920226618,9.0
51097,King and Queen County,2.0348313822185062,35.0
51051,Dickenson County,0.15177161688606944,25.0
51105,Lee County,-2.032075733658868,-7.0
51135,Nottoway County,-2.216189307156238,-36.0
51049,Cumberland County,-2.6710889221919167,1.0
51125,Nelson County,-11.553968782470044,18.0
51530,Buena Vista city,-12.446637358113552,-22.0
51045,Craig County,-12.490487310605118,-18.0
51580,Covington city,-27.969418223447125,-70.0
51115,Mathews County,-28.439076260651447,-19.0
51009,Amherst County,-37.37778143525273,-74.0
51595,Emporia city,-48.11800485531444,38.0
51113,Madison County,-77.03901490157462,-100.0
51181,Surry County,-107.08023500154609,-87.0
51037,Charlotte County,-107.26112255812589,-51.0
51005,Alleghany County,-109.45979117931608,-121.0
51147,Prince Edward County,-113.04878706804045,-180.0
51620,Franklin city,-121.63149284805009,-187.0
51750,Radford city,-139.70784316141535,-215.0
51790,Staunton city,-158.3515654320519,-46.0
51640,Galax city,-163.1738191910996,-274.0
51137,Orange County,-182.71326715540397,-193.0
51193,Westmoreland County,-200.5850468494751,-228.0
51119,Middlesex County,-211.21220292851672,-172.0
51117,Mecklenburg County,-213.51139065375344,-220.0
51670,Hopewell city,-216.63417851804812,-298.0
51083,Halifax County,-229.47554729603206,81.0
51029,Buckingham County,-245.59942338293084,-143.0
51133,Northumberland County,-252.4395575020396,-253.0
51720,Norton city,-265.8148412770071,-172.0
51025,Brunswick County,-286.6972422679537,-276.0
51163,Rockbridge County,-286.8880912019344,-310.0
51019,Bedford County,-293.8642045816126,4.0
51121,Montgomery County,-294.4603301395475,-28.0
51730,Petersburg city,-321.40217335027756,-499.0
51685,Manassas Park city,-328.98066470735995,-198.0
51141,Patrick County,-340.0480127682419,-394.0
51111,Lunenburg County,-360.66569434314044,-352.0
51570,Colonial Heights city,-367.5173664379054,-527.0
51830,Williamsburg city,-372.8350589533408,-424.0
51187,Warren County,-391.529899211544,89.0
51167,Russell County,-401.451994517894,-395.0
51185,Tazewell County,-430.5652351745786,-634.0
51590,Danville city,-443.35796957085836,-186.0
51085,Hanover County,-444.5342109122343,1052.0
51035,Carroll County,-463.89486972652696,-525.0
51081,Greensville County,-497.52850007572795,-518.0
51027,Buchanan County,-527.6699400221305,-429.0
