area_fips,locality_name,matched_employment_2019,matched_employment_2025,matched_sectors_2019,matched_sectors_2025,employment_change,employment_growth_pct
51001,Accomack County,8386.0,8289.0,13.0,13.0,-97.0,-0.011566897209635106
51003,Albemarle County,38633.0,40694.0,20.0,20.0,2061.0,0.05334817384101675
51005,Alleghany County,910.0,789.0,4.0,4.0,-121.0,-0.13296703296703297
51007,Amelia County,1155.0,1207.0,7.0,7.0,52.0,0.045021645021645025
51009,Amherst County,4005.0,3931.0,10.0,10.0,-74.0,-0.018476903870162296
51011,Appomattox County,1668.0,1865.0,8.0,8.0,197.0,0.11810551558752998
51013,Arlington County,134946.0,135689.0,15.0,15.0,743.0,0.005505906066130156
51015,Augusta County,22368.0,25050.0,16.0,16.0,2682.0,0.11990343347639484
51017,Bath County,207.0,216.0,3.0,3.0,9.0,0.043478260869565216
51019,Bedford County,14109.0,14113.0,14.0,14.0,4.0,0.000283506981359416
51021,Bland County,727.0,842.0,2.0,2.0,115.0,0.15818431911966988
51023,Botetourt County,8205.0,8413.0,14.0,14.0,208.0,0.02535039609993906
51025,Brunswick County,1490.0,1214.0,7.0,7.0,-276.0,-0.18523489932885906
51027,Buchanan County,2661.0,2232.0,11.0,11.0,-429.0,-0.161217587373168
51029,Buckingham County,1694.0,1551.0,12.0,12.0,-143.0,-0.08441558441558442
51031,Campbell County,13823.0,14438.0,16.0,16.0,615.0,0.04449106561527888
51033,Caroline County,2405.0,2757.0,10.0,10.0,352.0,0.14636174636174637
51035,Carroll County,2642.0,2117.0,7.0,7.0,-525.0,-0.19871309613928842
51036,Charles City County,900.0,1268.0,6.0,6.0,368.0,0.4088888888888889
51037,Charlotte County,1242.0,1191.0,8.0,8.0,-51.0,-0.04106280193236715
51041,Chesterfield County,115629.0,124429.0,18.0,18.0,8800.0,0.07610547527004471
51043,Clarke County,2841.0,3032.0,15.0,15.0,191.0,0.06722984864484337
51045,Craig County,124.0,106.0,1.0,1.0,-18.0,-0.14516129032258066
51047,Culpeper County,10917.0,11318.0,14.0,14.0,401.0,0.03673170284876798
51049,Cumberland County,541.0,542.0,6.0,6.0,1.0,0.0018484288354898336
51051,Dickenson County,851.0,876.0,4.0,4.0,25.0,0.02937720329024677
51053,Dinwiddie County,4984.0,4613.0,7.0,7.0,-371.0,-0.07443820224719101
51057,Essex County,2155.0,2223.0,10.0,10.0,68.0,0.03155452436194896
51059,Fairfax County,539560.0,548131.0,20.0,20.0,8571.0,0.01588516569056268
51061,Fauquier County,15493.0,16721.0,13.0,13.0,1228.0,0.07926160201381269
51063,Floyd County,2278.0,2483.0,11.0,11.0,205.0,0.08999122036874452
51065,Fluvanna County,2532.0,2978.0,14.0,14.0,446.0,0.17614533965244866
51067,Franklin County,10094.0,10953.0,14.0,14.0,859.0,0.08510005944125223
51069,Frederick County,25563.0,30543.0,16.0,16.0,4980.0,0.19481281539725384
51071,Giles County,2530.0,2750.0,9.0,9.0,220.0,0.08695652173913043
51073,Gloucester County,6583.0,6909.0,13.0,13.0,326.0,0.04952149475922832
51075,Goochland County,7518.0,8770.0,13.0,13.0,1252.0,0.16653365256717212
51077,Grayson County,702.0,694.0,4.0,4.0,-8.0,-0.011396011396011397
51079,Greene County,2019.0,2104.0,11.0,11.0,85.0,0.04210004952947004
51081,Greensville County,1731.0,1213.0,5.0,5.0,-518.0,-0.29924898902368574
51083,Halifax County,7255.0,7336.0,14.0,14.0,81.0,0.011164713990351481
51085,Hanover County,41139.0,42191.0,15.0,15.0,1052.0,0.025571841804613627
51087,Henrico County,162061.0,162080.0,15.0,15.0,19.0,0.00011723980476487249
51089,Henry County,11103.0,10338.0,12.0,12.0,-765.0,-0.06890029721696839
51091,Highland County,50.0,72.0,2.0,2.0,22.0,0.44
51093,Isle of Wight County,8062.0,6696.0,14.0,14.0,-1366.0,-0.16943686430166213
51095,James City County,25159.0,24988.0,16.0,16.0,-171.0,-0.006796772526729997
51097,King and Queen County,399.0,434.0,5.0,5.0,35.0,0.08771929824561403
51099,King George County,4342.0,5466.0,9.0,9.0,1124.0,0.2588668816213726
51101,King William County,2437.0,2571.0,10.0,10.0,134.0,0.054985638079606075
51103,Lancaster County,2624.0,2849.0,13.0,13.0,225.0,0.0857469512195122
51105,Lee County,1701.0,1694.0,16.0,16.0,-7.0,-0.00411522633744856
51107,Loudoun County,144351.0,168036.0,16.0,16.0,23685.0,0.164079223559241
51109,Louisa County,2959.0,3328.0,9.0,9.0,369.0,0.12470429199053734
51111,Lunenburg County,1122.0,770.0,7.0,7.0,-352.0,-0.3137254901960784
51113,Madison County,1885.0,1785.0,11.0,11.0,-100.0,-0.05305039787798409
51115,Mathews County,722.0,703.0,7.0,7.0,-19.0,-0.02631578947368421
51117,Mecklenburg County,6208.0,5988.0,11.0,11.0,-220.0,-0.035438144329896906
51119,Middlesex County,1725.0,1553.0,12.0,12.0,-172.0,-0.09971014492753623
51121,Montgomery County,28387.0,28359.0,18.0,18.0,-28.0,-0.0009863669989784057
51125,Nelson County,2576.0,2594.0,13.0,13.0,18.0,0.006987577639751553
51127,New Kent County,2067.0,2334.0,10.0,10.0,267.0,0.12917271407837447
51131,Northampton County,2402.0,2625.0,10.0,10.0,223.0,0.09283930058284763
51133,Northumberland County,1800.0,1547.0,10.0,10.0,-253.0,-0.14055555555555554
51135,Nottoway County,1607.0,1571.0,10.0,10.0,-36.0,-0.0224019912881145
51137,Orange County,6302.0,6109.0,11.0,11.0,-193.0,-0.030625198349730244
51139,Page County,1704.0,1748.0,5.0,5.0,44.0,0.025821596244131457
51141,Patrick County,2376.0,1982.0,10.0,10.0,-394.0,-0.16582491582491582
51143,Pittsylvania County,8893.0,9506.0,15.0,15.0,613.0,0.06893061958844035
51145,Powhatan County,4513.0,5635.0,13.0,13.0,1122.0,0.24861511189895857
51147,Prince Edward County,4241.0,4061.0,13.0,13.0,-180.0,-0.042442820089601506
51149,Prince George County,5880.0,6970.0,10.0,10.0,1090.0,0.18537414965986396
51153,Prince William County,104954.0,114002.0,20.0,20.0,9048.0,0.08620919640985575
51155,Pulaski County,10203.0,9370.0,9.0,9.0,-833.0,-0.08164265412133687
51157,Rappahannock County,635.0,735.0,9.0,9.0,100.0,0.15748031496062992
51159,Richmond County,855.0,954.0,8.0,8.0,99.0,0.11578947368421053
51161,Roanoke County,30976.0,28985.0,13.0,13.0,-1991.0,-0.06427556818181818
51163,Rockbridge County,3929.0,3619.0,10.0,10.0,-310.0,-0.07890048358360906
51165,Rockingham County,28017.0,27716.0,16.0,16.0,-301.0,-0.010743477174572582
51167,Russell County,3111.0,2716.0,9.0,9.0,-395.0,-0.12696882031501125
51169,Scott County,1836.0,2003.0,7.0,7.0,167.0,0.09095860566448802
51171,Shenandoah County,11449.0,10330.0,16.0,16.0,-1119.0,-0.09773779369377238
51173,Smyth County,6796.0,5756.0,10.0,10.0,-1040.0,-0.15303119482048264
51175,Southampton County,1040.0,1250.0,6.0,6.0,210.0,0.20192307692307693
51177,Spotsylvania County,28465.0,30155.0,16.0,16.0,1690.0,0.059371157561918145
51179,Stafford County,25099.0,33133.0,11.0,11.0,8034.0,0.32009243396151243
51181,Surry County,225.0,138.0,3.0,3.0,-87.0,-0.38666666666666666
51183,Sussex County,987.0,993.0,6.0,6.0,6.0,0.0060790273556231
51185,Tazewell County,7503.0,6869.0,11.0,11.0,-634.0,-0.08449953351992537
51187,Warren County,9730.0,9819.0,13.0,13.0,89.0,0.009146968139773896
51191,Washington County,16933.0,17927.0,20.0,20.0,994.0,0.058701942951632904
51193,Westmoreland County,2009.0,1781.0,10.0,10.0,-228.0,-0.1134892981582877
51195,Wise County,6092.0,5162.0,12.0,12.0,-930.0,-0.15265922521339462
51197,Wythe County,7146.0,7278.0,13.0,13.0,132.0,0.018471872376154493
51199,York County,17160.0,18100.0,19.0,19.0,940.0,0.054778554778554776
51510,Alexandria city,65248.0,59389.0,13.0,13.0,-5859.0,-0.08979585581167239
51520,Bristol city,4888.0,5974.0,11.0,11.0,1086.0,0.22217675941080198
51530,Buena Vista city,177.0,155.0,2.0,2.0,-22.0,-0.12429378531073447
51540,Charlottesville city,28798.0,26781.0,16.0,16.0,-2017.0,-0.07003958608236684
51550,Chesapeake city,86858.0,91242.0,20.0,20.0,4384.0,0.050473186119873815
51570,Colonial Heights city,6691.0,6164.0,9.0,9.0,-527.0,-0.07876251681363025
51580,Covington city,895.0,825.0,5.0,5.0,-70.0,-0.0782122905027933
51590,Danville city,20735.0,20549.0,13.0,13.0,-186.0,-0.008970340004822764
51595,Emporia city,1650.0,1688.0,5.0,5.0,38.0,0.02303030303030303
51600,Fairfax city,16978.0,19876.0,12.0,12.0,2898.0,0.170691483095771
51610,Falls Church city,9682.0,9408.0,17.0,17.0,-274.0,-0.028299938029332783
51620,Franklin city,1345.0,1158.0,5.0,5.0,-187.0,-0.13903345724907062
51630,Fredericksburg city,18475.0,19534.0,11.0,11.0,1059.0,0.05732070365358593
51640,Galax city,3229.0,2955.0,8.0,8.0,-274.0,-0.08485599256735832
51650,Hampton city,32680.0,30132.0,12.0,12.0,-2548.0,-0.07796817625458996
51660,Harrisonburg city,22506.0,21903.0,14.0,14.0,-603.0,-0.026792855238603037
51670,Hopewell city,2270.0,1972.0,7.0,7.0,-298.0,-0.13127753303964756
51678,Lexington city,370.0,449.0,5.0,5.0,79.0,0.21351351351351353
51680,Lynchburg city,44995.0,40205.0,15.0,15.0,-4790.0,-0.10645627291921325
51683,Manassas city,13830.0,14842.0,10.0,10.0,1012.0,0.07317425885755603
51685,Manassas Park city,2319.0,2121.0,7.0,7.0,-198.0,-0.08538163001293661
51690,Martinsville city,5082.0,4353.0,10.0,10.0,-729.0,-0.14344746162927982
51700,Newport News city,80873.0,79169.0,13.0,13.0,-1704.0,-0.021070072830240007
51710,Norfolk city,85512.0,88397.0,12.0,12.0,2885.0,0.03373795490691365
51720,Norton city,2463.0,2291.0,8.0,8.0,-172.0,-0.06983353633779943
51730,Petersburg city,4442.0,3943.0,7.0,7.0,-499.0,-0.11233678523187754
51735,Poquoson city,497.0,557.0,5.0,5.0,60.0,0.12072434607645875
51740,Portsmouth city,22707.0,22346.0,13.0,13.0,-361.0,-0.015898181177610427
51750,Radford city,2705.0,2490.0,9.0,9.0,-215.0,-0.07948243992606285
51760,Richmond city,116762.0,126087.0,20.0,20.0,9325.0,0.07986331169387301
51770,Roanoke city,50679.0,51089.0,13.0,13.0,410.0,0.008090135953748101
51775,Salem city,11216.0,11053.0,11.0,11.0,-163.0,-0.01453281027104137
51790,Staunton city,7762.0,7716.0,12.0,12.0,-46.0,-0.0059263076526668386
51800,Suffolk city,24625.0,35613.0,16.0,16.0,10988.0,0.4462131979695432
51810,Virginia Beach city,144996.0,143239.0,15.0,15.0,-1757.0,-0.012117575657259511
51820,Waynesboro city,6500.0,7377.0,11.0,11.0,877.0,0.13492307692307692
51830,Williamsburg city,2468.0,2044.0,6.0,6.0,-424.0,-0.17179902755267423
51840,Winchester city,19235.0,18533.0,11.0,11.0,-702.0,-0.036495970886404994
