industry_code,industry_title,matched_localities,matched_employment_2019,matched_employment_2025,employment_change,employment_growth_pct
48-49,Transportation and Warehousing,70.0,107633.0,143653.0,36020.0,0.3346557282617785
71,"Arts, Entertainment, and Recreation",91.0,53830.0,64790.0,10960.0,0.20360393832435444
99,Unclassified,49.0,5434.0,6349.0,915.0,0.16838424733161575
23,Construction,85.0,165261.0,187722.0,22461.0,0.13591228420498483
62,Health Care and Social Assistance,62.0,392163.0,444571.0,52408.0,0.13363830856047104
55,Management of Companies and Enterprises,54.0,72102.0,79546.0,7444.0,0.103242628498516
53,Real Estate and Rental and Leasing,104.0,52744.0,57748.0,5004.0,0.09487335052328227
54,"Professional, Scientific, and Technical Services",84.0,390722.0,400870.0,10148.0,0.02597243052605177
61,Educational Services,59.0,56883.0,58222.0,1339.0,0.02353954608582529
22,Utilities,16.0,4301.0,4333.0,32.0,0.00744013020227854
72,Accommodation and Food Services,94.0,331136.0,325158.0,-5978.0,-0.018053005411673755
51,Information,50.0,43987.0,42804.0,-1183.0,-0.026894309682406164
31-33,Manufacturing,100.0,204146.0,197536.0,-6610.0,-0.03237878773034985
81,Other Services,119.0,135823.0,130254.0,-5569.0,-0.04100189216848398
44-45,Retail Trade,128.0,401674.0,383827.0,-17847.0,-0.04443155394673292
11,"Agriculture, Forestry, Fishing and Hunting",22.0,3506.0,3348.0,-158.0,-0.0450656018254421
56,Administrative and Support and Waste Management,83.0,209168.0,199258.0,-9910.0,-0.04737818404344833
42,Wholesale Trade,65.0,61904.0,58774.0,-3130.0,-0.05056216076505557
52,Finance and Insurance,113.0,119637.0,105902.0,-13735.0,-0.11480562033484625
21,"Mining, Quarrying, and Oil and Gas Extraction",11.0,1112.0,918.0,-194.0,-0.17446043165467626
