area_fips,locality_name,industry_title,2019,2025,employment_change,employment_growth_pct
51059,Fairfax County,"Professional, Scientific, and Technical Services",159986.0,154006.0,-5980.0,-0.037378270598677384
51087,Henrico County,Finance and Insurance,16236.0,11163.0,-5073.0,-0.31245380635624537
51013,Arlington County,Administrative and Support and Waste Management,11431.0,6975.0,-4456.0,-0.3898171638526813
51510,Alexandria city,"Professional, Scientific, and Technical Services",16222.0,12688.0,-3534.0,-0.21785229934656639
51550,Chesapeake city,Retail Trade,15523.0,12904.0,-2619.0,-0.16871738710300843
51700,Newport News city,Administrative and Support and Waste Management,6278.0,3821.0,-2457.0,-0.3913666772857598
51041,Chesterfield County,Administrative and Support and Waste Management,10979.0,8848.0,-2131.0,-0.19409782311685947
51810,Virginia Beach city,Finance and Insurance,8241.0,6224.0,-2017.0,-0.24475185050357967
51710,Norfolk city,Educational Services,3374.0,1746.0,-1628.0,-0.4825133372851215
51650,Hampton city,Administrative and Support and Waste Management,3618.0,2124.0,-1494.0,-0.4129353233830846
51680,Lynchburg city,Administrative and Support and Waste Management,2666.0,1203.0,-1463.0,-0.5487621905476369
51740,Portsmouth city,Health Care and Social Assistance,7082.0,5637.0,-1445.0,-0.20403840722959615
51093,Isle of Wight County,Manufacturing,3108.0,1730.0,-1378.0,-0.44337194337194336
51155,Pulaski County,Manufacturing,5213.0,3935.0,-1278.0,-0.2451563399194322
51153,Prince William County,Retail Trade,21450.0,20336.0,-1114.0,-0.051934731934731936
51165,Rockingham County,Manufacturing,7469.0,6372.0,-1097.0,-0.14687374481188914
51161,Roanoke County,Health Care and Social Assistance,6297.0,5308.0,-989.0,-0.15705891694457677
51085,Hanover County,Management of Companies and Enterprises,1390.0,444.0,-946.0,-0.6805755395683454
51610,Falls Church city,Administrative and Support and Waste Management,1127.0,192.0,-935.0,-0.8296362023070097
51770,Roanoke city,Finance and Insurance,3022.0,2107.0,-915.0,-0.3027796161482462
51191,Washington County,Manufacturing,3245.0,2358.0,-887.0,-0.2733436055469954
51171,Shenandoah County,Manufacturing,3475.0,2606.0,-869.0,-0.25007194244604314
51760,Richmond city,Manufacturing,5694.0,4883.0,-811.0,-0.1424306287319986
51095,James City County,Management of Companies and Enterprises,1013.0,224.0,-789.0,-0.7788746298124383
