area_fips,locality_name,industry_code,industry_title,annual_avg_emplvl,locality_published_employment,local_industry_share,state_industry_share,location_quotient,is_specialized,ranking_eligible_specialization
51001,Accomack County,11,"Agriculture, Forestry, Fishing and Hunting",199.0,8289.0,0.024007721076124984,0.0013468139528155627,17.825566052338548,True,True
51003,Albemarle County,11,"Agriculture, Forestry, Fishing and Hunting",719.0,40694.0,0.01766845235169804,0.0013468139528155627,13.118703080526831,True,True
51005,Alleghany County,62,Health Care and Social Assistance,830.0,1765.0,0.4702549575070821,0.15625628606777636,3.009510652922523,True,True
51007,Amelia County,23,Construction,444.0,1207.0,0.36785418392709196,0.06470425061563047,5.68516257320242,True,True
51009,Amherst County,31-33,Manufacturing,1386.0,3931.0,0.35258204019333506,0.0672927065446581,5.239528298053336,True,True
51011,Appomattox County,23,Construction,421.0,1918.0,0.21949947862356622,0.06470425061563047,3.3923502171052453,True,True
51013,Arlington County,54,"Professional, Scientific, and Technical Services",48108.0,135689.0,0.35454605752861323,0.1370489560234782,2.5870029791972664,True,True
51015,Augusta County,31-33,Manufacturing,6744.0,25050.0,0.26922155688622756,0.0672927065446581,4.000753881218338,True,True
51017,Bath County,54,"Professional, Scientific, and Technical Services",125.0,216.0,0.5787037037037037,0.1370489560234782,4.222605705982646,True,True
51019,Bedford County,42,Wholesale Trade,707.0,15292.0,0.04623332461417735,0.02169027363433848,2.131523345145083,True,True
51021,Bland County,31-33,Manufacturing,722.0,1021.0,0.7071498530852106,0.0672927065446581,10.508566074926975,True,True
51023,Botetourt County,42,Wholesale Trade,1758.0,9346.0,0.1881018617590413,0.02169027363433848,8.672175599539324,True,True
51025,Brunswick County,31-33,Manufacturing,261.0,1214.0,0.21499176276771004,0.0672927065446581,3.1948746574048554,True,True
51027,Buchanan County,42,Wholesale Trade,187.0,2419.0,0.07730467135179826,0.02169027363433848,3.564024717024089,True,True
51029,Buckingham County,62,Health Care and Social Assistance,463.0,1551.0,0.2985170857511283,0.15625628606777636,1.9104324905152688,True,True
51031,Campbell County,31-33,Manufacturing,4662.0,14438.0,0.32289790829754816,0.0672927065446581,4.798408696539205,True,True
51033,Caroline County,22,Utilities,128.0,2757.0,0.04642727602466449,0.002142581206210252,21.668852452404348,True,True
51035,Carroll County,42,Wholesale Trade,249.0,2353.0,0.10582235444113897,0.02169027363433848,4.878792966152747,True,True
51036,Charles City County,48-49,Transportation and Warehousing,496.0,1329.0,0.3732129420617005,0.05047574152199847,7.3939070691818545,True,True
51037,Charlotte County,31-33,Manufacturing,457.0,1307.0,0.3496557000765111,0.0672927065446581,5.196041562757856,True,True
51041,Chesterfield County,48-49,Transportation and Warehousing,12614.0,124705.0,0.1011507156890261,0.05047574152199847,2.0039470969424458,True,True
51043,Clarke County,61,Educational Services,298.0,3032.0,0.09828496042216359,0.020240329879222408,4.855897162182986,True,True
51045,Craig County,44-45,Retail Trade,106.0,106.0,1.0,0.1306402726983419,7.654607414277788,True,True
51047,Culpeper County,11,"Agriculture, Forestry, Fishing and Hunting",248.0,11318.0,0.021911998586322673,0.0013468139528155627,16.269506668322567,True,True
51049,Cumberland County,31-33,Manufacturing,144.0,747.0,0.1927710843373494,0.0672927065446581,2.8646653439242913,True,True
51051,Dickenson County,44-45,Retail Trade,364.0,1037.0,0.3510125361620058,0.1306402726983419,2.6868631618101393,True,True
51053,Dinwiddie County,48-49,Transportation and Warehousing,2331.0,5187.0,0.4493927125506073,0.05047574152199847,8.903142361063717,True,True
51057,Essex County,42,Wholesale Trade,201.0,2223.0,0.09041835357624832,0.02169027363433848,4.168612858488999,True,True
51059,Fairfax County,51,Information,22130.0,548131.0,0.0403735603350294,0.014621627646955715,2.7612220273873103,True,True
51061,Fauquier County,22,Utilities,128.0,16721.0,0.00765504455475151,0.002142581206210252,3.572814198389976,True,True
51063,Floyd County,62,Health Care and Social Assistance,922.0,2558.0,0.3604378420641126,0.15625628606777636,2.3067093883683647,True,True
51065,Fluvanna County,23,Construction,688.0,2978.0,0.2310275352585628,0.06470425061563047,3.5705155853045913,True,True
51067,Franklin County,31-33,Manufacturing,3262.0,10953.0,0.29781794942025014,0.0672927065446581,4.425709184733212,True,True
51069,Frederick County,31-33,Manufacturing,6335.0,30543.0,0.20741250040925907,0.0672927065446581,3.0822433969365153,True,True
51071,Giles County,31-33,Manufacturing,855.0,2750.0,0.3109090909090909,0.0672927065446581,4.620249457536075,True,True
51073,Gloucester County,44-45,Retail Trade,1863.0,7241.0,0.25728490539980664,0.1306402726983419,1.969414944455119,True,True
51075,Goochland County,21,"Mining, Quarrying, and Oil and Gas Extraction",108.0,8770.0,0.012314709236031927,0.0003393412966785737,36.29004001742971,True,True
51077,Grayson County,31-33,Manufacturing,354.0,810.0,0.43703703703703706,0.0672927065446581,6.494567680183914,True,True
51079,Greene County,44-45,Retail Trade,792.0,2306.0,0.3434518647007806,0.1306402726983419,2.6289891899861266,True,True
