primary_area_fips,primary_locality_name,announced_project_count,total_announced_investment_usd,total_announced_jobs,distinct_strategic_themes,employment_growth_pct,employment_change,matched_employment_2019,matched_employment_2025,total_regional_competitive_effect,regional_signal_type
51003,Albemarle County,1,4500000000.0,,1,0.0533481738410167,2061.0,38633.0,40694.0,665.5925899597108,Reinforcing Strength
51013,Arlington County,4,30600000.0,924.0,4,0.0055059060661301,743.0,134946.0,135689.0,-4341.499394881371,Growth with Competitive Weakness
51015,Augusta County,1,19000000.0,214.0,1,0.1199034334763948,2682.0,22368.0,25050.0,1108.8532154924694,Reinforcing Strength
51021,Bland County,1,3600000.0,52.0,1,0.1581843191196698,115.0,727.0,842.0,140.04597445701222,Reinforcing Strength
51023,Botetourt County,1,29950000.0,270.0,1,0.025350396099939,208.0,8205.0,8413.0,340.0185117932084,Reinforcing Strength
51033,Caroline County,1,3000000000.0,50.0,1,0.1463617463617463,352.0,2405.0,2757.0,283.4384743115614,Reinforcing Strength
51035,Carroll County,1,104800000.0,118.0,1,-0.1987130961392884,-525.0,2642.0,2117.0,-463.89486972652696,Potential Turnaround Signal
51041,Chesterfield County,2,240000000.0,400.0,2,0.0761054752700447,8800.0,115629.0,124429.0,4069.106323968065,Reinforcing Strength
51059,Fairfax County,10,41054000.0,1569.0,6,0.0158851656905626,8571.0,539560.0,548131.0,-5017.516514486674,Growth with Competitive Weakness
51061,Fauquier County,1,320000.0,,1,0.0792616020138126,1228.0,15493.0,16721.0,620.9640363525446,Reinforcing Strength
51067,Franklin County,1,4900000.0,50.0,1,0.0851000594412522,859.0,10094.0,10953.0,937.4357102223382,Reinforcing Strength
51069,Frederick County,1,230000000.0,250.0,1,0.1948128153972538,4980.0,25563.0,30543.0,3893.993133166957,Reinforcing Strength
51071,Giles County,1,9000000.0,46.0,1,0.0869565217391304,220.0,2530.0,2750.0,263.1532395644677,Reinforcing Strength
51075,Goochland County,2,5003300000.0,488.0,2,0.1665336525671721,1252.0,7518.0,8770.0,772.57745169311,Reinforcing Strength
51087,Henrico County,5,97750000.0,454.0,4,0.0001172398047648,19.0,162061.0,162080.0,-4071.675482650936,Growth with Competitive Weakness
51089,Henry County,3,123000000.0,328.0,3,-0.0689002972169683,-765.0,11103.0,10338.0,-888.5128270214735,Potential Turnaround Signal
51095,James City County,1,5225000.0,260.0,1,-0.0067967725267299,-171.0,25159.0,24988.0,-1762.115511467279,Potential Turnaround Signal
51105,Lee County,1,1500000.0,27.0,1,-0.0041152263374485,-7.0,1701.0,1694.0,-2.032075733658868,Potential Turnaround Signal
51107,Loudoun County,1,3000000.0,,1,0.164079223559241,23685.0,144351.0,168036.0,16428.77852166129,Reinforcing Strength
51137,Orange County,1,1200000000.0,350.0,1,-0.0306251983497302,-193.0,6302.0,6109.0,-182.713267155404,Potential Turnaround Signal
51141,Patrick County,1,781000.0,,1,-0.1658249158249158,-394.0,2376.0,1982.0,-340.0480127682419,Potential Turnaround Signal
51143,Pittsylvania County,3,514303600.0,1231.0,2,0.0689306195884403,613.0,8893.0,9506.0,364.85199723128153,Reinforcing Strength
51149,Prince George County,2,366000000.0,657.0,2,0.1853741496598639,1090.0,5880.0,6970.0,463.3270681649083,Reinforcing Strength
51153,Prince William County,1,18000000.0,80.0,1,0.0862091964098557,9048.0,104954.0,114002.0,5387.997365181393,Reinforcing Strength
51155,Pulaski County,1,10000000.0,25.0,1,-0.0816426541213368,-833.0,10203.0,9370.0,-900.636587811725,Potential Turnaround Signal
51161,Roanoke County,1,30000000.0,288.0,1,-0.0642755681818181,-1991.0,30976.0,28985.0,-3079.070175761959,Potential Turnaround Signal
51165,Rockingham County,2,3100000000.0,646.0,2,-0.0107434771745725,-301.0,28017.0,27716.0,-2102.8499908411304,Potential Turnaround Signal
51169,Scott County,1,35000000.0,200.0,1,0.090958605664488,167.0,1836.0,2003.0,201.66011578664663,Reinforcing Strength
51171,Shenandoah County,2,48725000.0,195.0,2,-0.0977377936937723,-1119.0,11449.0,10330.0,-1400.1963989742449,Potential Turnaround Signal
51179,Stafford County,2,2000000000.0,148.0,2,0.3200924339615124,8034.0,25099.0,33133.0,6880.4649215388745,Reinforcing Strength
51191,Washington County,1,100000.0,,1,0.0587019429516329,994.0,16933.0,17927.0,539.7579351838418,Reinforcing Strength
51530,Buena Vista city,1,19600000.0,57.0,1,-0.1242937853107344,-22.0,177.0,155.0,-12.446637358113552,Potential Turnaround Signal
51540,Charlottesville city,1,200000.0,20.0,1,-0.0700395860823668,-2017.0,28798.0,26781.0,-2303.712283432588,Potential Turnaround Signal
51550,Chesapeake city,5,728985000.0,522.0,3,0.0504731861198738,4384.0,86858.0,91242.0,1971.3030315873052,Reinforcing Strength
51590,Danville city,2,40600000.0,180.0,2,-0.0089703400048227,-186.0,20735.0,20549.0,-443.3579695708584,Potential Turnaround Signal
51660,Harrisonburg city,2,2635000.0,71.0,2,-0.026792855238603,-603.0,22506.0,21903.0,-636.6672052208517,Potential Turnaround Signal
51680,Lynchburg city,2,36100000.0,320.0,1,-0.1064562729192132,-4790.0,44995.0,40205.0,-5601.513915651782,Potential Turnaround Signal
51710,Norfolk city,2,4100000.0,85.0,2,0.0337379549069136,2885.0,85512.0,88397.0,-1443.7507080152056,Growth with Competitive Weakness
51740,Portsmouth city,1,10500000.0,53.0,1,-0.0158981811776104,-361.0,22707.0,22346.0,-1968.937890423348,Potential Turnaround Signal
51760,Richmond city,2,60000000.0,166.0,2,0.079863311693873,9325.0,116762.0,126087.0,4683.077992472754,Reinforcing Strength
51770,Roanoke city,1,85000000.0,435.0,1,0.0080901359537481,410.0,50679.0,51089.0,-2685.4063077550027,Growth with Competitive Weakness
51775,Salem city,2,9000000.0,95.0,2,-0.0145328102710413,-163.0,11216.0,11053.0,152.4799013739015,Mixed / Transitional
51810,Virginia Beach city,3,48703000.0,476.0,2,-0.0121175756572595,-1757.0,144996.0,143239.0,-4695.99505754949,Potential Turnaround Signal
51820,Waynesboro city,1,4600000.0,,1,0.1349230769230769,877.0,6500.0,7377.0,943.437355734392,Reinforcing Strength
51840,Winchester city,1,1900000.0,,1,-0.0364959708864049,-702.0,19235.0,18533.0,-1476.5748987583174,Potential Turnaround Signal
